YEAR,PLAYER,PCT_FGA_2PT,PCT_FGA_3PT,MIN,POSITION
2016-17,Aaron Brooks,57.3,42.7,13.7,PG
2016-17,Aaron Gordon,69.1,30.9,28.7,SF
2016-17,Adreian Payne,72.2,27.8,7.5,PF
2016-17,Al Horford,69.8,30.2,32.3,C
2016-17,Al Jefferson,99.8,0.2,14.1,C
2016-17,Al-Farouq Aminu,54.5,45.5,29.1,PF
2016-17,Alan Anderson,45.0,55.0,10.3,SF
2016-17,Alan Williams,99.6,0.4,15.1,C
2016-17,Alec Burks,69.4,30.6,15.5,SG
2016-17,Alex Len,97.4,2.6,20.3,C
2016-17,Allen Crabbe,53.3,46.7,28.5,SG
2016-17,Alonzo Gee,78.6,21.4,6.9,SF
2016-17,Amir Johnson,82.2,17.8,20.1,PF
2016-17,Andre Drummond,99.2,0.8,29.7,C
2016-17,Andre Iguodala,57.3,42.7,26.3,SF
2016-17,Andre Roberson,60.3,39.7,30.1,SF
2016-17,Andrew Bogut,98.8,1.2,21.6,C
2016-17,Andrew Harrison,56.7,43.3,20.5,PG
2016-17,Andrew Nicholson,75.7,24.3,9.0,PF
2016-17,Andrew Wiggins,81.6,18.4,37.2,SF
2016-17,Anthony Davis,91.2,8.8,36.1,C
2016-17,Anthony Morrow,47.2,52.8,14.6,SG
2016-17,Anthony Tolliver,34.5,65.5,22.7,PF
2016-17,Arinze Onuaku,100.0,0.0,3.5,C
2016-17,Aron Baynes,100.0,0.0,15.5,C
2016-17,Arron Afflalo,64.0,36.0,25.9,SG
2016-17,Austin Rivers,59.1,40.9,27.8,SG
2016-17,Avery Bradley,64.3,35.7,33.4,SG
2016-17,Ben McLemore,59.4,40.6,19.3,SG
2016-17,Beno Udrih,83.8,16.2,14.4,PG
2016-17,Bismack Biyombo,100.0,0.0,22.1,C
2016-17,Blake Griffin,88.4,11.6,34.0,PF
2016-17,Boban Marjanovic,100.0,0.0,8.4,C
2016-17,Bobby Brown,41.7,58.3,4.9,PG
2016-17,Bobby Portis,74.4,25.6,15.6,PF
2016-17,Bojan Bogdanovic,53.6,46.4,25.7,SF
2016-17,Boris Diaw,75.2,24.8,17.6,PF
2016-17,Bradley Beal,58.2,41.8,34.9,SG
2016-17,Brandan Wright,99.3,0.7,16.0,PF
2016-17,Brandon Bass,98.4,1.6,11.1,PF
2016-17,Brandon Ingram,72.7,27.3,28.9,SF
2016-17,Brandon Jennings,52.9,47.1,22.2,PG
2016-17,Brandon Knight,73.5,26.5,21.1,SG
2016-17,Brandon Rush,39.0,61.0,21.9,SG
2016-17,Brian Roberts,63.9,36.1,10.2,PG
2016-17,Brice Johnson,100.0,0.0,3.1,PF
2016-17,Brook Lopez,67.0,33.0,29.6,C
2016-17,Bruno Caboclo,62.5,37.5,4.5,SF
2016-17,Bryn Forbes,46.5,53.5,7.9,SG
2016-17,Buddy Hield,50.6,49.4,23.0,SG
2016-17,C.J. Watson,57.7,42.3,16.3,PG
2016-17,CJ McCollum,69.5,30.5,34.9,SG
2016-17,Cameron Payne,55.4,44.6,14.9,PG
2016-17,Caris LeVert,51.6,48.4,21.7,SF
2016-17,Carmelo Anthony,69.7,30.3,34.3,SF
2016-17,Chandler Parsons,58.1,41.9,19.8,SF
2016-17,Channing Frye,35.6,64.4,18.9,C
2016-17,Cheick Diallo,100.0,0.0,11.7,PF
2016-17,Chinanu Onuaku,100.0,0.0,10.3,C
2016-17,Chris Andersen,86.4,13.6,9.5,C
2016-17,Chris McCullough,78.1,21.9,5.0,PF
2016-17,Chris Paul,61.5,38.5,31.5,PG
2016-17,Christian Wood,78.3,21.7,8.2,PF
2016-17,Clint Capela,100.0,0.0,23.9,C
2016-17,Cody Zeller,99.8,0.2,27.8,C
2016-17,Cole Aldrich,100.0,0.0,8.6,C
2016-17,Corey Brewer,66.1,33.9,15.6,SF
2016-17,Cory Joseph,79.6,20.4,25.0,PG
2016-17,Courtney Lee,61.8,38.2,31.9,SG
2016-17,D'Angelo Russell,55.7,44.3,28.7,PG
2016-17,D.J. Augustin,47.0,53.0,19.7,PG
2016-17,Damian Jones,100.0,0.0,8.5,C
2016-17,Damian Lillard,61.1,38.9,35.9,PG
2016-17,Daniel Ochefu,100.0,0.0,3.9,C
2016-17,Danilo Gallinari,56.8,43.2,33.9,SF
2016-17,Danny Green,30.7,69.3,26.6,SG
2016-17,Dante Cunningham,49.6,50.4,25.0,PF
2016-17,Dante Exum,59.0,41.0,18.6,PG
2016-17,Darrell Arthur,45.6,54.4,15.6,PF
2016-17,Darren Collison,75.5,24.5,30.3,PG
2016-17,Darrun Hilliard,63.5,36.5,9.8,SG
2016-17,David Lee,100.0,0.0,18.7,PF
2016-17,David West,96.8,3.2,12.6,C
2016-17,Davis Bertans,26.1,73.9,12.1,PF
2016-17,DeAndre Jordan,99.7,0.3,31.7,C
2016-17,DeAndre Liggins,67.6,32.4,12.5,SG
2016-17,DeAndre' Bembry,81.6,18.4,9.8,SF
2016-17,DeMar DeRozan,92.0,8.0,35.4,SG
2016-17,DeMarcus Cousins,74.7,25.3,34.2,C
2016-17,DeMarre Carroll,41.8,58.2,26.1,SF
2016-17,Dejounte Murray,80.2,19.8,8.5,PG
2016-17,Delon Wright,74.1,25.9,16.5,PG
2016-17,Demetrius Jackson,75.0,25.0,3.4,PG
2016-17,Denzel Valentine,27.8,72.2,17.1,SG
2016-17,Deron Williams,61.0,39.0,25.9,PG
2016-17,Derrick Favors,97.6,2.4,23.7,PF
2016-17,Derrick Rose,93.9,6.1,32.5,PG
2016-17,Derrick Williams,60.2,39.8,16.1,PF
2016-17,Devin Booker,71.7,28.3,35.0,SG
2016-17,Devin Harris,48.1,51.9,16.7,PG
2016-17,Dewayne Dedmon,100.0,0.0,17.5,C
2016-17,Deyonta Davis,100.0,0.0,6.6,C
2016-17,Diamond Stone,100.0,0.0,3.5,C
2016-17,Dion Waiters,67.6,32.4,30.1,SG
2016-17,Dirk Nowitzki,69.2,30.8,26.4,PF
2016-17,Domantas Sabonis,66.9,33.1,20.1,PF
2016-17,Donatas Motiejunas,65.9,34.1,14.1,PF
2016-17,Dorian Finney-Smith,42.6,57.4,20.3,PF
2016-17,Doug McDermott,58.1,41.9,22.8,SF
2016-17,Dragan Bender,37.3,62.7,13.3,PF
2016-17,Draymond Green,59.5,40.5,32.5,PF
